,course_id,course_title,url,price,num_subscribers,num_reviews,num_lectures,level,rating,content_duration,published_timestamp,subject,Date,Free/Paid,clean_sorted,vid
3469,1227748,create stunning Photoshop compositions in minutes,https://www.udemy.com/create-impressive-photoshop-compositions-in-minutes/,20,5,0,29,Beginner Level,0.94,2,2017-06-07T19:24:37Z,Graphic Design,2017-06-07,Paid,create stunning Photoshop compositions minutes,vid2
3470,1114470,Adobe Photoshop CS6 para Iniciantes,https://www.udemy.com/adobe-photoshop-cs6-para-iniciantes/,40,5,0,63,Beginner Level,0.94,7,2017-02-17T20:25:49Z,Graphic Design,2017-02-17,Paid,Adobe Photoshop CS para Iniciantes,vid3
3471,1164720,调色中级课程,https://www.udemy.com/ixlnjjvn/,200,5,3,7,All Levels,0.94,1,2017-03-31T17:19:38Z,Graphic Design,2017-03-31,Paid,,vid4
3472,177584,Adobe InDesign CS6,https://www.udemy.com/adobe-indesign-cs62/,50,5,0,35,Beginner Level,0.94,5,2014-03-31T20:24:16Z,Graphic Design,2014-03-31,Paid,Adobe InDesign CS,vid1
3473,544944,How to illustrate in Flash,https://www.udemy.com/how-to-illustrate-in-flash/,20,5,2,17,Intermediate Level,0.94,2,2015-08-04T20:39:47Z,Graphic Design,2015-08-04,Paid,illustrate Flash,vid2
3474,1236254,Character Design,https://www.udemy.com/character-design/,75,5,0,24,Beginner Level,0.94,2,2017-05-31T18:31:33Z,Graphic Design,2017-05-31,Paid,Character Design,vid3
3475,1106148,Series 7: Intermediate Options,https://www.udemy.com/series-7-intermediate-options/,55,5,0,11,All Levels,0.97,1,2017-04-17T22:33:36Z,Business Finance,2017-04-17,Paid,Series  Intermediate Options,vid4
3476,682986,Effective Debt Collection Strategies,https://www.udemy.com/effective-debt-collection/,40,5,2,16,Intermediate Level,0.97,1.5,2015-11-30T22:38:49Z,Business Finance,2015-11-30,Paid,Effective Debt Collection Strategies,vid1
3477,1237912,Create Trading Robot Without Coding Skills!,https://www.udemy.com/algotrading/,145,5,0,13,All Levels,0.97,1,2017-06-16T05:29:13Z,Business Finance,2017-06-16,Paid,Create Trading Robot Without Coding Skills,vid2
3478,589778,How to Read Financial Statements,https://www.udemy.com/how-to-read-financial-statements/,20,5,2,59,All Levels,0.97,2,2015-08-23T20:13:45Z,Business Finance,2015-08-23,Paid,Read Financial Statements,vid3
3479,614668,8 Steps To Achieve Financial Freedom And Escape Debt,https://www.udemy.com/achieve-financial-freedom-and-escape-debt/,40,5,0,48,All Levels,0.97,5.5,2015-11-13T17:43:47Z,Business Finance,2015-11-13,Paid, Steps Achieve Financial Freedom Escape Debt,vid4
3480,707224,Financial Statement Review 101: How to Find Errors,https://www.udemy.com/financial-statement-review-101-how-to-find-errors/,30,5,2,15,Beginner Level,0.97,2,2017-02-03T16:23:16Z,Business Finance,2017-02-03,Paid,Financial Statement Review  Find Errors,vid1
3481,1078254,Tally ERP Complete Training in Urdu / Hindi,https://www.udemy.com/tally-erp-complete-training-in-urdu/,30,5,2,51,Intermediate Level,0.97,5,2017-02-02T17:03:27Z,Business Finance,2017-02-02,Paid,Tally ERP Complete Training Urdu Hindi,vid2
3482,1029322,Accounting and Business Basics,https://www.udemy.com/accounting-and-business-basics/,200,5,0,10,Beginner Level,0.97,2,2017-01-19T16:37:27Z,Business Finance,2017-01-19,Paid,Accounting Business Basics,vid3
3483,204014,Aprende a tocar el piano desde cero,https://www.udemy.com/aprende-a-tocar-el-piano-desde-cero/,50,4,0,16,All Levels,0.44,4,2014-04-30T16:15:20Z,Musical Instruments,2014-04-30,Paid,Aprende tocar el piano desde cero,vid4
3484,917176,Violin for Beginners,https://www.udemy.com/violin-for-beginners/,50,4,0,18,All Levels,0.93,0.7333333333,2017-03-07T23:22:53Z,Musical Instruments,2017-03-07,Paid,Violin Beginners,vid1
